country,r,p,rho,p_spearman,euclidean_dist,p_fdr,p_spearman_fdr,ci_lo,ci_hi
Germany,0.8614294552397579,2.5127171040355824e-16,0.8509201755887325,1.3722400930516058e-15,14.51631746878938,2.2363182225916684e-14,1.2212936828159292e-13,0.7694039913347874,0.9184229019897387
Netherlands,0.845860113178198,2.9687125960555432e-15,0.8017895367339015,9.171969234937994e-13,15.297858293724865,1.1328476012250269e-13,2.7210175396982717e-11,0.7449119016282755,0.908943914038492
New Zealand,0.8441691281046284,3.818587419859641e-15,0.8041249720315783,7.025019301403428e-13,14.870803203749936,1.1328476012250269e-13,2.7210175396982717e-11,0.7422680981383806,0.9079104604963264
Great Britain,0.8162215317577055,1.6632971804887741e-13,0.7641630791602193,4.366101421491244e-11,14.867792116742569,3.7008362265875224e-12,4.857287831409009e-10,0.6990275936607139,0.8907171696179046
Northern Ireland,0.8011078825689685,9.90780462772517e-13,0.7499069806032548,1.5736496304179326e-10,15.050824565780355,1.6128725844916742e-11,1.0003915507656857e-09,0.6759954427769913,0.8813296293518521
Sweden,0.8000732605457745,1.113270657070168e-12,0.7859172264700609,5.139880213862797e-12,14.8772008540724,1.6128725844916742e-11,1.1436233475844724e-10,0.6744276398543673,0.8806846701401073
Japan,0.7987404104508012,1.2923604163863437e-12,0.7591462181503951,6.924659492791637e-11,16.712587274454915,1.6128725844916742e-11,6.162946948584556e-10,0.6724095889858859,0.879853361772414
Czechia,0.7975558391608373,1.4741967699214772e-12,0.7447876159498635,2.442790179731675e-10,16.562815067081118,1.6128725844916742e-11,1.3588020374757443e-09,0.6706176200850399,0.8791141191329551
Canada,0.7966409815652105,1.630994748362367e-12,0.7527021466808794,1.2322350808913708e-10,16.101397955887734,1.6128725844916742e-11,8.436070938410155e-10,0.6692346757402716,0.878542925123132
Austria,0.7888452255783791,3.781799834783497e-12,0.7757537580449857,1.4384353775177188e-11,15.700287579853649,3.365801852957312e-11,2.5604149719815397e-10,0.6574859205140859,0.8736661014794953
Denmark,0.7819259731574677,7.74991541055466e-12,0.7647253135837341,4.143229730749797e-11,15.183729320597413,6.270386104903316e-11,4.857287831409009e-10,0.6471113530388103,0.8693232705607338
Uruguay,0.7790338293811578,1.0380542999816421e-11,0.7569405292581447,8.45157743579118e-11,14.83031466118814,7.698902724863846e-11,6.366420445755832e-10,0.6427896852078613,0.8675040241269372
Switzerland,0.7774399564785367,1.2171936477928429e-11,0.7594489597630568,6.736722880785727e-11,15.483047797996278,8.333094973351002e-11,6.162946948584556e-10,0.6404116963936829,0.8665004169955848
United States,0.7687014213744741,2.8484244262506364e-11,0.7158109187379472,2.4534616001204466e-09,16.514546524869786,1.7620899610705296e-10,1.1492530653195777e-08,0.6274207046527639,0.8609852362520549
Norway,0.7682624357149941,2.969814541130106e-11,0.7567675340509094,8.583937679670785e-11,15.11090125045488,1.7620899610705296e-10,6.366420445755832e-10,0.6267701623190364,0.86070760413381
Iceland,0.7670628209410699,3.327034914294014e-11,0.7653740456108666,3.899467268900631e-11,16.147915691108143,1.8506631710760451e-10,4.857287831409009e-10,0.624993432691383,0.8599486391515726
Azerbaijan,0.762161466798496,5.255294192274082e-11,0.7462148264095549,2.1632092236768042e-10,15.776898777731732,2.7513010771317253e-10,1.2835041393815706e-09,0.6177493785720666,0.8568434062144549
Finland,0.7417752330912003,3.149011670800595e-10,0.7207845309459627,1.685418961701489e-09,16.65148354247351,1.557011326118072e-09,8.333460421746251e-09,0.5878798405866438,0.8438536656470236
Slovenia,0.7404901381333573,3.5056124115297973e-10,0.7088478616467256,4.0963069925882385e-09,15.666194784200268,1.6421026559271157e-09,1.6571423742743328e-08,0.5860108987530213,0.8430307977022656
Greece,0.7395726046528804,3.783223351091049e-10,0.724503927901522,1.2660929559443492e-09,16.44101767582823,1.6835343912355169e-09,6.628369004649829e-09,0.5846775145736203,0.842442991716216
France,0.7285096823589108,9.255432317268004e-10,0.7102318233046082,3.7039243587260365e-09,15.108542854369137,3.9021635552427774e-09,1.5697584186981774e-08,0.5686661864613056,0.8353363443117118
